"RowNumber","Institutional code","Name of Organisation","Country","City"
"1905","F  PARIS007","UNIVERSITÉ PARIS DIDEROT - PARIS 7","FR","PARIS"
"1906","F  PARIS008","UNIVERSITE PARIS 8 VINCENNES - SAINT-DENIS ","FR","SAINT DENIS"
"1907","F  PARIS009","UNIVERSITE DE PARIS-DAUPHINE ","FR","PARIS"
"1908","F  PARIS010","UNIVERSITÉ PARIS OUEST NANTERRE LA DEFENSE","FR","NANTERRE CEDEX"
"1909","F  PARIS011","UNIVERSITE  PARIS-SUD (PARIS 11)","FR","ORSAY Cedex"
"1910","F  PARIS012","UNIVERSITE PARIS 12 - VAL DE MARNE ","FR","CRETEIL CEDEX"
"1911","F  PARIS013","UNIVERSITE PARIS 13 - PARIS NORD ","FR","VILLETANEUSE"
"1912","F  PARIS014","INSTITUT D'ETUDES POLITIQUES DE PARIS (SCIENCES PO)","FR","PARIS"
"1913","F  PARIS026","ECOLE SUPERIEURE DES ARTS APPLIQUES DUPERRE","FR","Paris"
"1914","F  PARIS035","ECOLE SUPERIEURE D' ARTS APPLIQUES BOULLE","FR","PARIS"
"1915","F  PARIS036","LICÉE PIERRE-GILLES DE GENNES-ENCPB","FR","PARIS"
"1916","F  PARIS037","ECOLE SUPERIEURE ESTIENNE DES ARTS ET INDUSTRIES GRAPHIQUES","FR","Paris"
"1917","F  PARIS047","LYCEE RABELAIS","FR","PARIS"
"1918","F  PARIS052","INSTITUT CATHOLIQUE DE PARIS","FR","PARIS"
"1919","F  PARIS054","EPHE - ECOLE PRATIQUE DES HAUTES ETUDES","FR","PARIS"
"1920","F  PARIS056","CONSERVATOIRE NATIONAL DES ARTS ET METIERS - PARIS","FR","PARIS  CEDEX 03"
"1921","F  PARIS057","ECOLE DES HAUTES ETUDES EN SCIENCES SOCIALES (EHESS)","FR","PARIS CEDEX"
"1922","F  PARIS062","ECOLE NATIONALE SUPERIEURE D'ARTS ET METIERS","FR","Paris"
"1923","F  PARIS063","ECOLE NATIONALE SUPERIEURE DE CHIMIE DE PARIS","FR","Paris"
"1924","F  PARIS064","ECOLE SUPERIEURE DE PHYSIQUE ET DE CHIMIE IND.  DE LA VILLE DE PARIS","FR","Paris"
"1925","F  PARIS066","ECOLE FRANCAISE D'ELECTRONIQUE ET D'INFORMATIQUE","FR","VILLEJUIF"
"1926","F  PARIS068","ECOLE SPECIALE DES TRAVAUX PUBLICS, DU BATIMENT ET DE L'INDUSTRIE","FR","PARIS"
"1927","F  PARIS077","INSTITUT DES SCIENCES ET INDUSTRIES DU VIVANT ET DE L'ENVIRONNEMENT (AGRO PARIS TECH)","FR","PARIS"
"1928","F  PARIS080","ECOLE NATIONALE SUPERIEURE DE TECHNIQUES AVANCEES (ENSTA PARISTECH)","FR","Paris Cedex 15"
"1929","F  PARIS081","ECOLE NATIONALE SUPERIEURE DES MINES DE PARIS","FR","Paris cedex 06"
"1930","F  PARIS083","ECOLE NATIONALE SUPERIEURE DES TELECOMMUNICATIONS","FR","PARIS"
"1931","F  PARIS085","ECOLE NATIONALE DES PONTS ET CHAUSSEES","FR","Marne-la-Vallee Cedex 2"
"1932","F  PARIS086","ECOLE DES INGENIEURS DE LA VILLE DE PARIS. EIVP","FR","Paris"
"1933","F  PARIS087","ECOLE NORMALE SUPERIEURE, PARIS","FR","Paris cedex 05"
"1934","F  PARIS092","ECOLE NATIONALE DES CHARTES","FR","Paris"
"1935","F  PARIS100","ECOLE SUPERIEURE DE COMMERCE DE PARIS","FR","Paris Cedex 11"
"1936","F  PARIS104","ISC PARIS - SCHOOL OF MANAGEMENT","FR","PARIS"
"1937","F  PARIS105","INSTITUT DE PREPARATION A L'ADMINISTRATION ET A LA GESTION (IPAG)","FR","PARIS"
"1938","F  PARIS110","ECOLE SUPERIEURE LIBRE DES SCIENCES COMMERCIALES APPLIQUEES","FR","Paris"
"1939","F  PARIS113","ECOLE D`ETUDES SUPERIEURES APPLIQUEES AUX AFFAIRES","FR","PARIS"
"1940","F  PARIS116","ECOLE NATIONALE SUPERIEURE DES ARTS DECORATIFS","FR","PARIS Cedex 05"
"1941","F  PARIS117","ECOLE NATIONALE SUPERIEURE DES BEAUX-ARTS DE PARIS","FR","PARIS"
"1942","F  PARIS119","CONSERVATOIRE NATIONAL SUPERIEUR DE MUSIQUE ET DE DANSE DE PARIS","FR","PARIS"
"1943","F  PARIS121","ECOLE SPÉCIALE D'ARCHITECTURE - PARIS","FR","PARIS"
"1944","F  PARIS126","ECOLE NATIONALE SUPERIEURE D'ARCHITECTURE DE PARIS-LA-VILLETTE","FR","PARIS"
"1945","F  PARIS129","ECOLE NATIONALE SUPÉRIEURE D'ARCHITECTURE PARIS-VAL DE SEINE","FR","PARIS"
"1946","F  PARIS160","ECOLE SUPERIEURE DU TRAVAIL SOCIAL","FR","PARIS"
"1947","F  PARIS174","ECOLE NATIONALE SUPERIEURE DE CREATION INDUSTRIELLE/LES ATELIERS","FR","PARIS"
"1948","F  PARIS178","INSTITUT NATIONAL DES LANGUES ET CIVILISATIONS ORIENTALES","FR","PARIS CEDEX 07"
"1949","F  PARIS190","ECOLE NATIONALE SUPERIEURE D'ARCHITECTURE DE PARIS-BELLEVILLE (ENSA-PB)","FR","PARIS"
"1950","F  PARIS209","LYCÉE CARCADO-SAISSEVAL","FR","PARIS"
"1951","F  PARIS213","ECOLE SUPERIEURE DU COMMERCE EXTERIEUR","FR","PARIS LA DEFENSE CEDEX"
"1952","F  PARIS215","CENTRE DE FORMATION DES JOURNALISTES (CFJ)","FR","Paris"
"1953","F  PARIS222","ECOLE CENTRALE D'ELECTRONIQUE ","FR","Paris"
"1954","F  PARIS225","UNIVERSITE DE MARNE-LA-VALLEE ","FR","MARNE LA VALLEE CEDEX 2"
"1955","F  PARIS226","ESAG Penninghen. ECOLE SUPERIEURE D'ARTS GRAPHIQUES ET D'ARCHITECTURE INTERIEURE","FR","Paris"
"1956","F  PARIS244","INSEEC PARIS (INSTITUT DES HAUTES ETUDES ECONOMIQUES ET COMMERCIALES)","FR","PARIS"
"1957","F  PARIS256","ECOLE SUPERIEURE DE GESTION","FR","Paris"
"1958","F  PARIS258","EBS - ECOLE EUROPEENNE DE GESTION","FR","Paris"
"1959","F  PARIS270","ASSOCIATION LEONARD DE VINCI","FR","PARIS LA DEFENSE CEDEX"
"1960","F  PARIS294","L'ECOLE SUPERIEURE D'INFORMATIQUE, ELECTRONIQUE, AUTOMATIQUE","FR","PARIS"
"1961","F  PARIS317","CONSERVATOIRE A RAYONNEMENT RÉGIONAL DE PARIS","FR","PARIS CEDEX04"
"1962","F  PARIS318","ECOLE D'ARCHITECTURE DE LA VILLE ET DES TERRITOIRES ","FR","CHAMPS SUR MARNE"
"1963","F  PARIS319","ECOLE NATIONALE SUPERIEURE D'ARCHITECTURE PARIS MALAQUAIS","FR","PARIS"
"1964","F  PARIS320","INSTITUT SUPERIEUR DE REEDUCATION PSYCHOMOTRICE ET RELAXATION","FR","Paris"
"1965","F  PARIS321","INSTITUT PRATIQUE DE JOURNALISME","FR","Paris cedex 09"
"1966","F  PARIS322","MUSEUM NATIONAL D'HISTOIRE NATURELLE","FR","PARIS"
"1967","F  PARIS323","ECOLE NATIONALE DES ARTS APPLIQUES ET DES METIERS D'ART OLIVIER DE SERRES","FR","PARIS"
"1968","F  PARIS324","IFE ADERE","FR","PARIS"
"1969","F  PARIS325","ECOLE DE COMMUNICATION VISUELLE PARIS","FR","Paris"
"1970","F  PARIS326","EFAP - Ecole Francaise des Attaches de Presse et des Professionels de la Communication","FR","Paris"
"1971","F  PARIS327","LYCÉE SIMONE WEIL","FR","PARIS"
"1972","F  PARIS329","INSTITUT D'ETUDES SUPERIEURES DES ARTS","FR","Paris"
"1973","F  PARIS332","INSTITUT SUPERIEUR DE GESTION","FR","Paris"
"1974","F  PARIS335","CESI","FR","Paris"
"1975","F  PARIS341","ÉCOLE GRÉGOIRE-FERRANDI","FR","Paris"
"1976","F  PARIS342","IPSA INSTITUT POLYTECHNIQUE DES SCIENCES AVANCEES","FR","Le Kremlin-Bicetre"
"1977","F  PARIS343","Centre d'Etudes Superieures en Economie, Art et Communication","FR","PARIS"
"1978","F  PARIS344","ENC ECOLE NATIONALE DE COMMERCE ","FR","PARIS"
"1979","F  PARIS346","UTEC-HRT HÔTELLERIE RESTAURATION TOURISME","FR","MARNE LA VALLÉE"
"1980","F  PARIS347","ECOLE D'ART MARYSE ELOY","FR","PARIS"
"1981","F  PARIS349","ISTEC - INSTITUT SUPÉRIEUR DES SCIENCES, TECHNIQUES ET ECONOMIE COMMERCIALES","FR","PARIS"
"1982","F  PARIS352","INSTITUT SUPÉRIEUR DU MANAGEMENT PUBLIC ET POLITIQUE","FR","PARIS"
"1983","F  PARIS354","LYCÉE JEAN LURÇAT LYCEE D'ENSEIGNEMENT GENERAL ET TECHNOLOGIQUE","FR","PARIS"
"1984","F  PARIS357","ESAM DESIGN (ÉCOLE SUPÉRIEURE DES ARTS MODERNES)","FR","PARIS"
"1985","F  PARIS360","EPITECH- L'ECOLE DE L'EXPERTISE INFORMATIQUE","FR","LE KREMLIN BICETRE"
"1986","F  PARIS361","INSTITUT INTERNATIONAL DU COMMERCE ET DU DÉVELOPPEMENT","FR","PARIS"
"1987","F  PARIS362","INSTITUT DES MEDIAS ICD-ISCPA","FR","PARIS"
"1988","F  PARIS363","ESAM / IGS","FR","PARIS"
"1989","F  PARIS364","LOUIS-ARMAND PARIS","FR","PARIS"
"1990","F  PARIS365","PÔLE SUPÉRIEUR D'ENSEIGNEMENT ARTISTIQUE PARIS BOULOGNE BILLANCOURT","FR","PARIS"
"1991","F  PARIS366","GROUPE ESP-ECOLE SUPÉRIEURE DE PUBLICITE ","FR","PARIS"
"1992","F  PARIS367","LYCEE POLYVALENT PRIVE ALBERT DE MUN","FR","PARIS"
"1993","F  PARIS369","ECOLE DU LOUVRE","FR","PARIS CEDEX 01"
"1994","F  PARIS372","UNIVERSITÉ PARIS-EST","FR"," MARNE-LA-VALLÉE, CEDEX 2"
"1995","F  PARIS373","L'INSTITUT SUPÉRIEUR DES ARTS APPLIQUÉS","FR","PARIS"
"1996","F  PARIS374","LYCÉE RACINE","FR","PARIS"
"1997","F  PARIS376","ISEP","FR","PARIS"
"1998","F  PARIS378","INSTITUT SUPÉRIEUR D'ENSEIGNEMENT AU MANAGEMENT D'ENTREPRISES","FR","PARIS"
"1999","F  PARIS379","ISIT (INSTITUT DE MANAGEMENT ET DE COMMUNICATION INTERCULTURELS)","FR","PARIS"
"2000","F  PARIS380","CENTRE L'HORIZON","FR","MALAKOFF"
"2001","F  PARIS383","AMOS ACADÉMIE DU MANAGEMENT DES ORGANISATIONS SPORTIVES","FR","PARIS"
"2002","F  PARIS384","ECOLE DE PSYCHOLOGUES PRATICIENS","FR","PARIS"
"2003","F  PARIS385","LPP LE REBOURS","FR","PARIS"
"2004","F  PARIS386","ECOLE CAMONDO - LES ARTS DÉCORATIFS","FR","PARIS"
"2005","F  PARIS387","CONDE PARIS ARTS APPLIQUES","FR","PARIS"
"2006","F  PARIS388","LYCÉE EMILE DUBOIS","FR","PARIS"
"2007","F  PARIS389","NOVANCIA BUSINESS SCHOOL, PARIS","FR","PARIS CEDEX 15"
"2008","F  PARIS393","IFSI PARIS SAINT JOSEPH","FR","PARIS"
"2009","F  PARIS394","INSTITUT PROTESTANT DE THÉOLOGIE ","FR","PARIS"
"2010","F  PARIS396","INSTITUT NATIONAL DE PODOLOGIE","FR","PARIS"
"2011","F  PARIS397","ACADÉMIE CHARPENTIER","FR","PARIS"
"2012","F  PARIS399","INSTITUT DE FORMATION EN SOINS INFIRMIERS V.OLIVIER CH STE ANNE PARIS","FR","PARIS"
"2013","F  PARIS400","ICART, L'ÉCOLE DES MÉTIERS DE LA CULTURE ET DU COMMERCE DE L'ART","FR","PARIS"
"2014","F  PARIS401","LYCEE GUILLAUME TIREL","FR","PARIS"
"2015","F  PARIS402","INSTITUT RÉGIONAL DE FORMATION SANITAIRE ET SOCIALE - ILE DE FRANCE","FR","ROMAINVILLE"
"2016","F  PARIS406","MOD'ART INTERNATIONAL","FR","PARIS"
"2017","F  PARIS407","AGEFA PME APPRENTISSAGE","FR","PUTEAUX"
"2018","F  PAU01","UNIVERSITE DE PAU ET DES PAYS DE L'ADOUR","FR","PAU CEDEX"
"2019","F  PAU12","GROUPE ECOLE SUPERIEURE DE COMMERCE DE PAU","FR","PAU CEDEX"
"2020","F  PAU18","CNPC (Centre National Professionnel des Commerces de Sports)","FR","LESCAR"
"2021","F  PAU19","EPLEFPA DES PYRÉNÉES ATLANTIQUES","FR","MONTARDON"
"2022","F  PAU22","ECOLE SUPERIEURE D'ART DES PYRENEES PAU TARBES","FR","PAU"
"2023","F  PAU23","LYCÉE SAINT-CRICQ","FR","PAU"
"2024","F  PERIGUE10","ETABLISSEMENT PUBLIC LOCAL D'ENSEIGNEMENT ET DE FORMATION PROFESSIONNELLE AGRICOLE DU PERIGORD","FR","COULOUNIEIX-CHAMIERS"
"2025","F  PERIGUE12","LYCEE ALBERT CLAVEILLE","FR","PERIGUEUX"
"2026","F  PERPIGN01","UNIVERSITE DE PERPIGNAN VIA DOMITIA","FR","PERPIGNAN CEDEX 9"
"2027","F  PERPIGN03","LYCÉE JEAN LURÇAT","FR","PERPIGNAN"
"2028","F  PERPIGN06","LYCÉE PRIVE NOTRE DAME DE BON SECOURS","FR","PERPIGNAN CEDEX"
"2029","F  PERPIGN12","LYCEE LEON BLUM","FR","PERPIGNAN cedex"
"2030","F  PERPIGN13","IMERIR","FR","Perpignan"
"2031","F  PERPIGN15","INSTITUT RÉGIONAL DU TRAVAIL SOCIAL - LANGUEDOC-ROUSSILLON","FR","PERPIGNAN"
"2032","F  PERPIGN16","IDEM ENSEIGNEMENT SUPERIEUR","FR","LE SOLER"
"2033","F  PERPIGN18","LYCÉE ARISTIDE MAILLOL","FR","PERPIGNAN"
"2034","F  PEZENAS01","LYCEE POLYVALENT JEAN MOULIN - PEZENAS","FR","PEZENAS"
"2035","F  POINT-P05","UNIVERSITE DES ANTILLES ET DE LA GUYANE","FR","97157-POINTE- A -PITRE CEDEX"
"2036","F  POITIER01","UNIVERSITE DE POITIERS ","FR","Poitiers"
"2037","F  POITIER04","LYCÉE ALIÉNOR D'AQUITAINE DE POITIERS","FR","POITIERS CEDEX"
"2038","F  POITIER05","ECOLE NATIONALE SUPERIEURE DE MECANIQUE ET D'AEROTECHNIQUE","FR","FUTUROSCOPE CHASSENEUIL"
"2039","F  POITIER07","ESCEM - ECOLE SUPERIEURE DE COMMERCE ET DE MANAGEMENT","FR","POITIERS"
"2040","F  POITIER29","CESMD DE POITOU-CHARENTES","FR","POITIERS"
"2041","F  POITIER30","INSTITUT DE FORMATION EN SOINS INFIRMIERS POITIERS ","FR","POITIERS CÉDEX"
"2042","F  PONTARL02","LYCÉE XAVIER MARMIER","FR","PONTARLIER"
"2043","F  QUIMPER05","LYCÉE LE LIKES","FR","QUIMPER"
"2044","F  REDON04","CITÉ SCOLAIRE BEAUMONT","FR","REDON CEDEX"
"2045","F  REIMS01","UNIVERSITE DE REIMS CHAMPAGNE-ARDENNE","FR","REIMS"
"2046","F  REIMS06","REIMS MANAGEMENT SCHOOL","FR","REIMS Cedex"
"2047","F  REIMS18","LYCEE HUGUES LIBERGIER","FR","REIMS CEDEX"
"2048","F  REIMS23","ECOLE SUPERIEURE D'ART ET DE DESIGN DE REIMS","FR","Reims"
"2049","F  RENNES01","UNIVERSITE DE RENNES I ","FR","RENNES"
"2050","F  RENNES02","UNIVERSITE RENNES II","FR","RENNES"
"2051","F  RENNES06","LYCÉE JEAN MACÉ RENNES","FR","RENNES CEDEX 7"
"2052","F  RENNES09","ECOLE NATIONALE SUPERIEURE DE CHIMIE DE RENNES","FR","RENNES"
"2053","F  RENNES10","INSTITUT NATIONAL DES SCIENCES APPLIQUEES DE RENNES","FR","RENNES cedex"
"2054","F  RENNES14","ECOLE DES HAUTES ETUDES EN SANTE PUBLIQUE EHESP","FR","Rennes"
"2055","F  RENNES16","ECOLE NATIONALE SUPERIEURE D'ARCHITECTURE DE BRETAGNE ","FR"," RENNES CEDEX"
"2056","F  RENNES22","LYCEE TECHNIQUE PRIVE JEANNE D'ARC","FR","RENNES Cedex 7"
"2057","F  RENNES23","LYCEE TECHNIQUE PRIVE DE LA SALLE - RENNES","FR","RENNES CEDEX 7"
"2058","F  RENNES27","GROUPE  ECOLE SUPERIEURE DE COMMERCE DE RENNES","FR","RENNES CEDEX"
"2059","F  RENNES28","INSTITUT D'ETUDES POLITIQUES DE RENNES ","FR","RENNES"
"2060","F  RENNES30","ECOLE LOUIS DE BROGLIE","FR","BRUZ"
"2061","F  RENNES32","ECOLE NATIONALE DE LA STATISTIQUE ET DE L'ANALYSE DE L'INFORMATION","FR","Bruz"
"2062","F  RENNES44","LYCEE Polyvalent Professionnel Saint Etienne","FR","Cesson -Sevigne  Cedex"
"2063","F  RENNES46","IFMK RENNES","FR","RENNES"
"2064","F  RENNES47","AGROCAMPUS OUEST","FR","RENNES CEDEX"
"2065","F  RENNES49","ECOLE EUROPÉENNE SUPÉRIEURE D'ART DE BRETAGNE","FR","RENNES"
"2066","F  RENNES50","LYCÉE BRÉQUIGNY","FR","RENNES"
"2067","F  RETHEL01","ETABLISSEMENT PUBLIC D'ENSEIGNEMENT AGRICOLE","FR","RETHEL"
"2068","F  ROANNE01","LYCEE ALBERT THOMAS","FR","ROANNE"
"2069","F  ROCH-MO01","LYCÉE PROFESSIONNEL AGRICOLE","FR","ROCHEFORT-MONTAGNE"
"2070","F  RODEZ01","LEGT MONTEIL","FR","RODEZ"
"2071","F  RODEZ09","EGC RODEZ","FR","Rodez"
"2072","F  ROMBAS01","LYCÉE J.DAUBIÉ ROMBAS","FR","ROMBAS"
"2073","F  ROUBAIX03","ECOLE NATIONALE SUPERIEURE DES ARTS ET INDUSTRIES TEXTILES","FR","ROUBAIX"
"2074","F  ROUBAIX09","ECOLE SUPERIEURE DES ARTS APPLIQUES ET DU TEXTILE DE ROUBAIX","FR","ROUBAIX"
"2075","F  ROUEN01","UNIVERSITÉ DE ROUEN","FR","MONT SAINT AIGNAN"
"2076","F  ROUEN06","INSTITUT NATIONAL DES SCIENCES APPLIQUEES DE ROUEN","FR","MONT SAINT AIGNAN CEDEX"
"2077","F  ROUEN07","ECOLE SUPERIEURE D'INGENIEURS EN GENIE ELECTRIQUE","FR","Saint-Etienne du Rouvray Cedex"
"2078","F  ROUEN09","ROUEN BUSINESS SCHOOL","FR","Mont Saint Aignan cedex"
"2079","F  ROUEN19","ECOLE NATIONALE SUPERIEURE D'ARCHITECTURE DE NORMANDIE ","FR","DARNETAL"
"2080","F  ROUEN22","ESITPA - ECOLE D'INGENIEURS EN AGRICULTURE ","FR","MONT SAINT AIGNAN CEDEX"
"2081","F  ROUEN29","LYCEE LES TOURELLES","FR","ROUEN"
"2082","F  ROUEN31","LYCEE LA VALLÉE DU CAILLY","FR","DEVILLE LES ROUEN"
"2083","F  ROUEN32","LYCEE VAL DE SEINE","FR","LE GRAND QUEVILLY"
"2084","F  ROUEN33","ESADHAR ÉCOLE SUPÉRIEURE D'ART ET DESIGN LE HAVRE-ROUEN","FR","ROUEN"
"2085","F  ROUEN36","LYCÉE D'ENSEIGNEMENT GÉNÉRAL ET TECHNOLOGIQUE JEANNE D'ARC","FR","ROUEN"
"2086","F  SABL-SA01","LYCÉE COLBERT DE TORCY","FR","SABLÉ SUR SARTHE"
"2087","F  SAINT-D01","INSTITUT NATIONAL DU PATRIMOINE","FR","PARIS"
"2088","F  SARREGU02","LYCÉE JEAN DE PANGE","FR","SARREGUEMINES"
"2089","F  SCEAUX01","EPF ECOLE D'INGENIEURS","FR","SCEAUX"
"2090","F  SEDAN01","LYCÉE PIERRE BAYLE","FR","SEDAN"
"2091","F  SELESTA03","LEGT DOCTEUR KOEBERLE","FR","SELESTAT  "
"2092","F  SENS04","ECOLE DE GESTION ET DE COMMERCE DE L'YONNE","FR","SENS"
"2093","F  SETE04","LYCEE SAINT JOSEPH SETE","FR","SETE"
"2094","F  SEVRES03","LYCÉE JEAN PIERRE VERNANT","FR","SÈVRES"
"2095","F  SOPHIA01","SKEMA BUSINESS SCHOOL","FR","SOPHIA ANTIPOLIS CEDEX"
"2096","F  SOTTEVI02","LYCEE LES BRUYERES","FR","SOTTEVILLE LES ROUEN"
"2097","F  SOURS01","EPLEFPA CHARTRES","FR","SOURS"
"2098","F  ST-BENO02","INSTITUT REGIONAL DU TRAVAIL SOCIAL DE LA RÉUNION","FR","SAINT BENOÎT - ILE DE LA RÉUNION"
"2099","F  ST-BRIE12","LYCEE MARIE BALAVENNE - POLE ENSEIGNEMENT SUPERIEUR CATHOLIQUE DE SAINT BRIEUC","FR","SAINT BRIEUC CEDEX 1"
"2100","F  ST-DENI01","UNIVERSITE DE LA REUNION ","FR","Saint-Denis Messag.9 cedex"
"2101","F  ST-DENI02","MAISON D'EDUCATION DE LA LEGION D'HONNEUR","FR","SAINT-DENIS cedex 1"
"2102","F  STE-ADR01","LYCEE POLYVALENT JEANNE D'ARC","FR","SAINTE-ADRESSE"
"2103","F  STE-GEN01","LYCÉE ALBERT EINSTEIN","FR","STE GENEVIEVE DES BOIS"
"2104","F  STE-SEB01","LYCEE PRIVE SAINT PIERRE LA JOLIVERIE","FR","ST SEBASTIEN SUR LOIRE CEDEX"
"2105","F  ST-ETIE01","UNIVERSITE JEAN MONNET","FR","SAINT ETIENNE CEDEX 2"
"2106","F  ST-ETIE05","ECOLE NATIONALE D'INGENIEURS DE SAINT-ETIENNE","FR","ST-ETIENNE cedex 2"
"2107","F  ST-ETIE06","ECOLE NATIONALE SUPERIEURE DES MINES DE SAINT-ETIENNE","FR","SAINT-ETIENNE CEDEX 2"
"2108","F  ST-ETIE08","ECOLE NATIONALE SUPERIEURE D'ARCHITECTURE DE SAINT-ETIENNE","FR","SAINT ETIENNE CEDEX 01"
"2109","F  ST-ETIE15","LYCEE JEAN MONNET","FR","SAINT ETIENNE CEDEX 02"
"2110","F  ST-ETIE16","ECOLE SUPERIEURE D'ART ET DESIGN DE SAINT-ETIENNE","FR","SAINT-ETIENNE"
"2111","F  ST-ETIE17","GROUPE SCOLAIRE TEZENAS DU MONTCEL","FR","ST ETIENNE"
"2112","F  ST-ETIE18","GROUPE ECOLE SUPERIEURE DE COMMERCE DE SAINT ETIENNE","FR","SAINT-ETIENNE"
"2113","F  ST-ETIE24"," ECOLE SUPERIEURE H.E.C.I. SAINT LOUIS  ","FR","SAINT ETIENNE CEDEX 2"
"2114","F  ST-GERM01","LYCÉE JEAN BAPTISTE POQUELIN","FR","SAINT GERMAIN EN LAYE"
"2115","F  ST-JEAN01","ETABLISSEMENT PUBLIC LOCAL D'ENSEIGNEMENT ET DE FORMATION PROFESSIONNELLE AGRICOLE (EPLEFPA) DE SAINT LÔ THÈRE ","FR","LE HOMMET D'ARTHENAY"
"2116","F  ST-LIVR03","ETABLISSEMENT PUBLIC LOCAL D'ENSEIGNEMENT ET DE FORMATION PROFESSIONNELLE AGRICOLE DU LOT ET GARONNE (EPLEFPA 47)","FR","SAINTE LIVRADE SUR LOT"
"2117","F  ST-LO05","GROUPE FIM (FORMATION DES CHAMBRES DE COMMERCE ET D'INDUSTRIE DE LA MANCHE)","FR","SAINT-LO CEDEX"
"2118","F  ST-MALO06","LYCÉE LES VERGERS ","FR","DOL-DE-BRETAGNE"
"2119","F  ST-MALO08","OGEC ENSEMBLE LA MENNAIS LYCEES","FR","SAINT MALO"
"2120","F  ST-MAND01","ECOLE NATIONALE DES SCIENCES GEOGRAPHIQUES","FR","Marne-la-Vallee Cedex 2"
"2121","F  ST-OUEN02","INSTITUT SUPERIEUR DE MECANIQUE DE PARIS - SUPMECA","FR","Saint-Ouen Cedex"
"2122","F  ST-PALA01","INSTITUT JEAN ERRECART","FR","SAINT PALAIS"
"2123","F  STRASBO09","LYCÉE POLYVALENT ET TECHNOLOGIQUE LOUIS COUFFIGNAL","FR","STRASBOURG"
"2124","F  STRASBO12","ECOLE NATIONALE DU GENIE DE L'EAU ET DE L'ENVIRONNEMENT DE STRASBOURG","FR","STRASBOURG CEDEX"
"2125","F  STRASBO16","ECOLE NATIONALE SUPERIEURE D'ARCHITECTURE DE STRASBOURG ","FR","STRASBOURG"
"2126","F  STRASBO30","ECOLE SUPERIEURE EN TRAVAIL EDUCATIF ET SOCIAL","FR","STRASBOURG CEDEX"
"2127","F  STRASBO31","INSTITUT NATIONAL DES SCIENCES APPLIQUEES DE STRASBOURG","FR","STRASBOURG CEDEX"
"2128","F  STRASBO45","LYCEE RENE CASSIN STRASBOURG","FR","STRASBOURG CEDEX"
"2129","F  STRASBO46","LYCEE HENRI MECK","FR","MOLSHEIM"
"2130","F  STRASBO48","UNIVERSITÉ DE STRASBOURG","FR","STRASBOURG CEDEX"
"2131","F  STRASBO50","ECAM STRASBOURG-EUROPE","FR","SCHILTIGHEIM"
"2132","F  STRASBO51","HAUTE ÉCOLE DES ARTS DU RHIN","FR","STRASBOURG CEDEX"
"2133","F  STRASBO52","ORT STRASBOURG","FR","STRASBOURG"
"2134","F  STRASBO53","INSTITUT DE FORMATION EN SOINS INFIRMIERS HOPITAUX UNIVERSITAIRES DE STRASBOURG","FR","STRASBOURG CEDEX"
"2135","F  SURESNE04","LYCÉE PAUL LANGEVIN","FR","SURESNES"
"2136","F  SURESNE05","INS HEA- INSTITUT NATIONAL SUPÉRIEUR DE FORMATION ET DE RECHERCHE SUR LE HANDICAP ET LES ENSEIGNEMENTS ADAPTES","FR","SURESNES"
"2137","F  TAHITI01","UNIVERSITE DE LA POLYNESIE FRANCAISE","FR","Tahiti - Polynesie francaise"
"2138","F  TALENCE07","LYCEE D'HOTELLERIE ET DE TOURISME DE BORDEAUX TALENCE","FR","TALENCE"
"2139","F  TALENCE08","LYCEE VICTOR LOUIS","FR","TALENCE"
"2140","F  TARBES01","LYCEE GENERAL ET TECHNOLOGIQUE MARIE CURIE","FR","TARBES"
"2141","F  TARBES03","ECOLE NATIONALE D'INGENIEURS DE TARBES","FR","Tarbes Cedex"
"2142","F  TARBES09","EPLEFPA VIC EN BIGORRE FRANCE","FR","VIC EN BIGORRE"
"2143","F  TARBES10","ECOLE DE GESTION ET DE COMMERCE TARBES-PYRÉNÉES","FR","TARBES"
"2144","F  TARBES11","CENTRE HOSPITALIER DE BIGORRE","FR","TARBES CEDEX 9"
"2145","F  THIONVI04","INSTITUT DE FORMATION EN SOINS INFIRMIERS","FR","THIONVILLE"
"2146","F  THONON02","LYCEE JEANNE D'ARC","FR","THONON LES BAINS"
"2147","F  TOULON01","UNIVERSITE DU SUD TOULON-VAR ","FR","LA GARDE"
"2148","F  TOULON17","INSTITUT FÉNELON","FR","GRASSE"
"2149","F  TOULON19","INSTITUT SUPÉRIEUR DE L'ELECTRONIQUE ET DU NUMÉRIQUE DE TOULON","FR","TOULON"
"2150","F  TOULON21","ECOLE SUPERIEURE D'ART TOULON-PROVENCE-MEDITERRANEE-EPCC","FR","TOULON"
"2151","F  TOULOUS01","UNIVERSITE TOULOUSE 1 SCIENCES SOCIALES ","FR","TOULOUSE"
"2152","F  TOULOUS02","UNIVERSITE DE TOULOUSE LE MIRAIL (TOULOUSE II)","FR","TOULOUSE "
"2153","F  TOULOUS03","UNIVERSITE PAUL SABATIER - TOULOUSE III","FR","TOULOUSE"
"2154","F  TOULOUS08","LYCÉE OZENNE TOULOUSE","FR","TOULOUSE CEDEX"
"2155","F  TOULOUS09","INSTITUT CATHOLIQUE DE TOULOUSE","FR","TOULOUSE"
